epoch_s	elapsed_s	app_total_pss_kb	app_total_rss_kb	bun_vmrss_kb	memavailable_kb
1783049413	0	183733	283920	648976	928128
1783049430	17	175236	277496	669768	892896
1783049447	34	172112	274904	662776	960372
1783049466	53	171994	276332	663512	943496
1783049482	69	170298	274804	663416	961924
1783049498	85	170456	274980	662760	952020
1783049518	105	170261	275044	663036	957852
1783049535	122	170591	275444	-	983652
1783049551	138	170592	275464	-	990796
1783049567	154	170403	275496	-	926768
1783049583	170	-	-	-	1623680
1783049601	188	177798	288192	665244	913040
1783049618	205	111136	47880	989896	538452
1783049634	221	107370	64252	391044	285020
1783049650	237	121843	94268	306196	235468
1783049669	256	130603	116836	232756	1508660
1783049687	274	129967	117104	232800	1526020
1783049702	289	129873	117608	233732	1479652
1783049718	305	131658	120144	239084	1481280
1783049734	321	131363	120152	239120	1471460
1783049750	337	131376	120196	-	1739272
1783049769	356	134287	204896	884464	866204
1783049790	377	155019	236708	893104	873392
1783049806	393	149921	234644	895088	841740
1783049822	409	148623	233544	894584	873608
1783049844	431	148914	233800	894552	840064
1783049866	453	148798	233696	894872	856824
1783049884	471	149912	235484	894908	855992
1783049900	487	149646	235228	894844	835000
1783049917	504	149700	235316	894952	865220
1783049939	526	149960	235596	913600	857612
1783049960	547	149909	235556	913060	821172
1783049976	563	169478	276320	-	597512
1783049993	580	135580	205924	890444	933496
1783050010	597	125254	73460	1488832	440452
1783050025	612	-	-	-	2074676
1783050042	629	68889	93460	646736	828600
1783050058	645	74783	107132	649096	825752
1783050074	661	71871	107872	651612	957544
1783050090	677	61300	8496	1590384	578556
1783050106	693	79852	54336	1576632	437804
1783050122	709	78179	54364	1463156	423956
1783050138	725	75190	144732	-	1810092
1783050154	741	153321	272416	656624	1082156
1783050170	757	158070	277536	-	1054076
1783050187	774	158582	278988	-	1096300
1783050203	790	156802	277272	-	1085944
1783050219	806	155991	276560	-	1117072
1783050236	823	156086	276664	-	1145832
1783050255	842	156046	276624	-	1120192
1783050276	863	156698	277336	-	1130420
1783050293	880	156430	277068	-	1144280
1783050309	896	156399	277052	-	1832736
1783050331	918	148959	263624	650620	1107372
1783050361	948	156585	278812	650160	1050796
1783050381	968	159869	283280	654712	1063696
1783050397	984	156228	279712	657508	1080436
1783050415	1002	156040	279524	655824	1079552
1783050430	1017	155945	279428	653736	1078068
1783050447	1034	156439	279956	653552	1135124
1783050469	1056	156225	280244	653032	1049368
1783050485	1072	155865	279892	653088	1064020
1783050501	1088	155857	279888	653132	1068900
1783050517	1104	155916	279948	653132	1066392
1783050532	1119	155914	279956	653248	1076784
1783050548	1135	155868	279912	653732	1060592
1783050564	1151	156283	280356	653288	1060560
1783050580	1167	156233	280320	653516	1079700
1783050597	1184	156232	280320	653604	1064336
1783050614	1201	156127	280216	653732	1070492
1783050632	1219	156201	280292	653172	1047128
1783050650	1237	156237	280328	653400	1076676
1783050672	1259	156365	280456	653776	1062876
1783050693	1280	156309	280400	653776	1050352
1783050710	1297	156239	280392	653540	1042264
1783050726	1313	156041	280204	654296	1055244
1783050743	1330	156066	280252	654360	1078080
1783050761	1348	156134	280324	654720	1058896
1783050777	1364	156065	280256	-	1065500
1783050793	1380	156068	280260	654500	1052676
1783050809	1396	156017	280208	654740	1052952
1783050824	1411	156072	280264	655484	1041796
1783050840	1427	155992	280188	655140	1047848
1783050856	1443	156040	280236	655104	1046520
1783050872	1459	155992	280188	654840	1046376
1783050888	1475	156036	280232	654968	1041908
1783050904	1491	156052	280248	655040	1048220
1783050920	1507	155992	280188	656248	1069788
1783050936	1523	156079	280276	656256	1078836
1783050952	1539	156163	280384	656140	1094984
1783050968	1555	156175	280396	656268	1073920
1783050984	1571	156096	280316	-	1106384
1783051000	1587	156091	280312	-	1079620
1783051016	1603	156204	280424	-	1106628
1783051032	1619	155750	280300	-	1065644
1783051050	1637	155874	280428	-	1081700
1783051066	1653	155878	280432	-	1068664
1783051084	1671	155897	280456	-	1079408
1783051104	1691	156131	280724	-	1060708
1783051121	1708	156030	280624	-	1073724
1783051138	1725	155937	280536	-	1072932
1783051160	1747	156166	280768	656912	1057880
1783051176	1763	155852	280488	656960	1071400
1783051192	1779	155908	280544	655072	1054444
1783051208	1795	155396	280536	655316	1020272
1783051224	1811	155351	280480	655420	1036136
1783051243	1830	155510	280640	655312	1014072
1783051259	1846	155426	280556	655552	1047960
1783051275	1862	155354	280484	655284	1022516
1783051291	1878	155418	280548	655668	1049204
1783051307	1894	155406	280536	655456	1037212
1783051322	1909	155354	280484	655700	1039268
1783051338	1925	155340	280496	655560	1037600
1783051354	1941	155414	280588	655468	1060420
1783051370	1957	155354	280528	655380	1020420
1783051386	1973	155314	280488	655620	1026600
1783051402	1989	155358	280532	655488	1055328
1783051418	2005	155358	280532	655560	1030824
1783051434	2021	155422	280600	655520	1042308
1783051452	2039	156382	281560	655612	1034420
1783051468	2055	155622	280808	655856	1043172
1783051484	2071	155578	280764	656124	1013076
1783051500	2087	155582	280768	655964	1031968
1783051516	2103	155530	280716	656220	1005896
1783051531	2118	155562	280748	656060	1003504
1783051547	2134	155662	280848	656092	1019244
1783051563	2150	155502	280700	-	1057724
1783051580	2167	155542	280740	656080	1032284
1783051598	2185	155614	280812	656208	1013912
1783051615	2202	155630	280828	656208	1021016
1783051631	2218	155510	280708	-	1748516
1783051659	2246	155299	278320	647600	1002600
1783051680	2267	159912	284748	660784	1014716
1783051697	2284	156929	281820	662832	1003656
1783051713	2300	155049	280008	654464	1046468
1783051733	2320	155241	280200	654808	1024292
1783051750	2337	155025	279984	654352	1015388
1783051766	2353	155295	280360	654468	1032732
1783051783	2370	155324	280392	-	1017840
1783051799	2386	155034	279980	-	1771188
1783051817	2404	-	-	-	1699584
1783051836	2423	150213	273644	653836	1031752
1783051856	2443	119177	77184	1390908	459244
1783051872	2459	-	-	-	1884000
1783051888	2475	-	-	-	1879844
1783051904	2491	-	-	-	1907604
1783051920	2507	-	-	-	1885128
1783051937	2524	-	-	-	1873840
1783051953	2540	-	-	-	1874008
1783051969	2556	153508	269628	654504	1032480
1783051986	2573	114316	39004	1558460	487084
1783052003	2590	118276	89480	738376	349588
1783052019	2606	123310	98396	272056	327304
1783052035	2622	132015	114044	240772	1525320
1783052051	2638	158223	268772	656780	1079844
